Topic,Question,BT Level
Operators,What are the components of Operators in Java?,Remember
Scanner Class,Argue for or against the use of Scanner Class in a given Java scenario.,Evaluate
Enum,Write a Java program to demonstrate Enum.,Apply
Aggregation,"Recommend, with justification, when Aggregation should be used in Java.",Evaluate
Variables,Define Variables in Java.,Remember
Switch Statement,State two characteristics of Switch Statement in Java.,Remember
Bytecode,Demonstrate the use of Bytecode through a Java program.,Apply
equals and hashCode,Why is equals and hashCode used in Java? Explain.,Understand
Garbage Collection,Analyze why a Java program using Garbage Collection may produce unexpected results.,Analyze
ClassLoaderBasics,Justify whether ClassLoaderBasics is the best choice for a given Java programming problem.,Evaluate
Abstraction,Examine how Abstraction affects the performance of a Java program.,Analyze
Annotations,Evaluate the effectiveness of using Annotations in a Java application.,Evaluate
Has-A Relationship,Inspect a Java program using Has-A Relationship and identify the logical flow.,Analyze
Control Statements,List the key features of Control Statements in Java.,Remember
Final Keyword,Analyze why a Java program using Final Keyword may produce unexpected results.,Analyze
Vector,Describe how Vector works in Java.,Understand
Dynamic Binding,Analyze the time complexity of operations involving Dynamic Binding in Java.,Analyze
Nested Classes,Mention the purpose of Nested Classes in Java.,Remember
Anonymous Classes,Analyze the time complexity of operations involving Anonymous Classes in Java.,Analyze
JVM Architecture,Examine how JVM Architecture affects the performance of a Java program.,Analyze
Inheritance,"Recommend, with justification, when Inheritance should be used in Java.",Evaluate
Runnable Interface,List the rules for using Runnable Interface in Java.,Remember
Lambda Expressions,Recall the default value associated with Lambda Expressions in Java.,Remember
Bytecode,Apply the concept of Bytecode to complete a partially written Java program.,Apply
Arrays,Critique a design decision that relies on Arrays in Java.,Evaluate
Inheritance,Give reasons why Inheritance is important in Java.,Understand
Generics,Evaluate two different approaches to implementing Generics in Java and recommend one.,Evaluate
JVM Architecture,Identify the keyword used for JVM Architecture in Java.,Remember
Loops,"Determine whether Loops improves or harms the efficiency of a Java program, and justify.",Evaluate
Bytecode,Write the general form of Bytecode in Java.,Remember
Generics,Create a new Java class hierarchy that demonstrates Generics.,Create
Data Types,Explain the working of Data Types in Java in your own words.,Understand
Byte Streams,Summarize the role of Byte Streams in Java programming.,Understand
Comparable and Comparator,Identify the keyword used for Comparable and Comparator in Java.,Remember
File Handling,List the rules for using File Handling in Java.,Remember
Strings,Propose and implement an original Java solution using Strings.,Create
Scanner Class,Summarize the role of Scanner Class in Java programming.,Understand
Enhanced For Loop,Analyze why a Java program using Enhanced For Loop may produce unexpected results.,Analyze
Aggregation,Apply the concept of Aggregation to complete a partially written Java program.,Apply
Try-Catch-Finally,Explain the concept of Try-Catch-Finally in Java with an example.,Understand
Default Methods,What are the components of Default Methods in Java?,Remember
Loops,Develop a complete Java application that uses Loops along with other concepts.,Create
Thread Lifecycle,State two characteristics of Thread Lifecycle in Java.,Remember
Generics,Propose and implement an original Java solution using Generics.,Create
Java I/O,Evaluate the correctness and quality of a Java solution that uses Java I/O.,Evaluate
Serialization,Write and execute a Java program illustrating Serialization.,Apply
ClassLoaderBasics,List the rules for using ClassLoaderBasics in Java.,Remember
Regular Expressions,Compare Regular Expressions with a related concept in Java and analyze the differences.,Analyze
Constructor Overloading,Analyze why a Java program using Constructor Overloading may produce unexpected results.,Analyze
HashSet,What are the components of HashSet in Java?,Remember
Ternary Operator,Analyze the output of a Java program that uses Ternary Operator.,Analyze
Comparable and Comparator,Differentiate between Comparable and Comparator and a related concept in Java.,Understand
Garbage Collection,Mention the purpose of Garbage Collection in Java.,Remember
Jagged Arrays,Classify the different forms of Jagged Arrays in Java and explain each.,Understand
Interfaces,Break down the working of Interfaces in Java and analyze each step.,Analyze
Aggregation,"Determine whether Aggregation improves or harms the efficiency of a Java program, and justify.",Evaluate
Operators,List the rules for using Operators in Java.,Remember
Type Casting,Explain how Type Casting differs from its alternatives in Java.,Understand
Throw and Throws,Argue for or against the use of Throw and Throws in a given Java scenario.,Evaluate
Has-A Relationship,State the syntax of Has-A Relationship in Java.,Remember
Command Line Arguments,Formulate a Java mini-project that showcases Command Line Arguments.,Create
Queue,Design and build a Java module that applies Queue effectively.,Create
Regular Expressions,Evaluate the effectiveness of using Regular Expressions in a Java application.,Evaluate
Singleton Class,Critique a design decision that relies on Singleton Class in Java.,Evaluate
Regular Expressions,Formulate a Java mini-project that showcases Regular Expressions.,Create
Comparable and Comparator,Discuss the significance of Comparable and Comparator in Java.,Understand
Marker Interface,Apply Marker Interface to write a Java program that takes user input and produces output.,Apply
Ternary Operator,Explain the working of Ternary Operator in Java in your own words.,Understand
Math Class,"Recommend, with justification, when Math Class should be used in Java.",Evaluate
JDK and JRE,Show how JDK and JRE can be used in a Java program to perform a task.,Apply
toString Method,Apply toString Method to write a Java program that takes user input and produces output.,Apply
Multidimensional Arrays,Recall the default value associated with Multidimensional Arrays in Java.,Remember
Functional Interfaces,Write the general form of Functional Interfaces in Java.,Remember
Is-A Relationship,Implement Is-A Relationship in Java with a working code example.,Apply
Enum,Explain how Enum differs from its alternatives in Java.,Understand
Strings,Create a new Java class hierarchy that demonstrates Strings.,Create
Stream API,Propose and implement an original Java solution using Stream API.,Create
Deque,Judge the suitability of Deque for a large-scale Java project.,Evaluate
Is-A Relationship,Create a Java application that uses Is-A Relationship to manage data for a small system.,Create
Immutable Class,Evaluate the trade-offs involved in using Immutable Class in Java.,Evaluate
Marker Interface,Explain the working of Marker Interface in Java in your own words.,Understand
Default Methods,Argue for or against the use of Default Methods in a given Java scenario.,Evaluate
Recursion,Evaluate two different approaches to implementing Recursion in Java and recommend one.,Evaluate
Immutable Class,"Recommend, with justification, when Immutable Class should be used in Java.",Evaluate
BufferedReader,Design and build a Java module that applies BufferedReader effectively.,Create
Regular Expressions,Judge the suitability of Regular Expressions for a large-scale Java project.,Evaluate
Abstract Classes,List the rules for using Abstract Classes in Java.,Remember
Singleton Class,Create a Java application that uses Singleton Class to manage data for a small system.,Create
Marker Interface,Explain how Marker Interface differs from its alternatives in Java.,Understand
HashSet,Evaluate the effectiveness of using HashSet in a Java application.,Evaluate
Byte Streams,Interpret the behaviour of Byte Streams in Java with a suitable example.,Understand
Constructor Overloading,Judge the suitability of Constructor Overloading for a large-scale Java project.,Evaluate
HashMap,Develop a Java program that uses HashMap to handle a given scenario.,Apply
Vector,Evaluate the effectiveness of using Vector in a Java application.,Evaluate
Character Streams,Explain the advantages of using Character Streams in Java.,Understand
Polymorphism,Mention the purpose of Polymorphism in Java.,Remember
Constructor Overloading,Describe how Constructor Overloading works in Java.,Understand
Bitwise Operators,Examine the relationship between Bitwise Operators and memory usage in Java.,Analyze
Recursion,Examine the relationship between Recursion and memory usage in Java.,Analyze
Method Overloading,Examine the relationship between Method Overloading and memory usage in Java.,Analyze
Wrapper Classes,Why is Wrapper Classes used in Java? Explain.,Understand
Operators,State the syntax of Operators in Java.,Remember
LinkedList,Propose and implement an original Java solution using LinkedList.,Create
super Keyword,Explain the concept of super Keyword in Java with an example.,Understand
Switch Statement,Write and execute a Java program illustrating Switch Statement.,Apply
Association,Use Association to implement a small Java application.,Apply
Nested Classes,Create a Java application that uses Nested Classes to manage data for a small system.,Create
Constructor Overloading,Design a Java program that integrates Constructor Overloading to solve a real-world problem.,Create
Recursion,Construct a Java program that combines Recursion with exception handling to build a robust solution.,Create
Default Methods,Construct a Java program that combines Default Methods with exception handling to build a robust solution.,Create
Encapsulation,Explain the concept of Encapsulation in Java with an example.,Understand
equals and hashCode,Write and execute a Java program illustrating equals and hashCode.,Apply
Type Casting,Construct a Java program that combines Type Casting with exception handling to build a robust solution.,Create
Command Line Arguments,Examine the relationship between Command Line Arguments and memory usage in Java.,Analyze
Association,Describe how Association works in Java.,Understand
Interfaces,What are the components of Interfaces in Java?,Remember
super Keyword,"Determine whether super Keyword improves or harms the efficiency of a Java program, and justify.",Evaluate
equals and hashCode,Describe how equals and hashCode works in Java.,Understand
equals and hashCode,What is equals and hashCode in Java?,Remember
Scanner Class,List the key features of Scanner Class in Java.,Remember
Data Types,Write a Java program to demonstrate Data Types.,Apply
Runnable Interface,Design and build a Java module that applies Runnable Interface effectively.,Create
Strings,Explain how Strings differs from its alternatives in Java.,Understand
Jagged Arrays,Design a Java program that integrates Jagged Arrays to solve a real-world problem.,Create
Character Streams,Devise a Java program that uses Character Streams to implement a custom feature.,Create
Method Overloading,Identify the keyword used for Method Overloading in Java.,Remember
Garbage Collection,State two characteristics of Garbage Collection in Java.,Remember
LinkedList,Compare LinkedList with a related concept in Java and analyze the differences.,Analyze
Aggregation,Implement Aggregation in Java with a working code example.,Apply
Enhanced For Loop,Analyze the output of a Java program that uses Enhanced For Loop.,Analyze
Byte Streams,Formulate a Java mini-project that showcases Byte Streams.,Create
Multidimensional Arrays,Discuss the significance of Multidimensional Arrays in Java.,Understand
Runnable Interface,Propose and implement an original Java solution using Runnable Interface.,Create
Control Statements,Critique a design decision that relies on Control Statements in Java.,Evaluate
Custom Exceptions,Explain the concept of Custom Exceptions in Java with an example.,Understand
TreeMap,Develop a complete Java application that uses TreeMap along with other concepts.,Create
Dynamic Binding,Write a Java program to demonstrate Dynamic Binding.,Apply
Runnable Interface,Examine how Runnable Interface affects the performance of a Java program.,Analyze
Method Overriding,Evaluate the correctness and quality of a Java solution that uses Method Overriding.,Evaluate
HashMap,Argue for or against the use of HashMap in a given Java scenario.,Evaluate
Association,Judge the suitability of Association for a large-scale Java project.,Evaluate
Collections Framework,Inspect a Java program using Collections Framework and identify the logical flow.,Analyze
String Pool,Justify whether String Pool is the best choice for a given Java programming problem.,Evaluate
Command Line Arguments,Identify the keyword used for Command Line Arguments in Java.,Remember
Dynamic Binding,Write the general form of Dynamic Binding in Java.,Remember
Static Keyword,Recall the default value associated with Static Keyword in Java.,Remember
Math Class,Mention the purpose of Math Class in Java.,Remember
Deque,Evaluate the trade-offs involved in using Deque in Java.,Evaluate
ArrayList,Explain the working of ArrayList in Java in your own words.,Understand
Multithreading,Differentiate between Multithreading and a related concept in Java.,Understand
Annotations,"Recommend, with justification, when Annotations should be used in Java.",Evaluate
Default Methods,Explain the concept of Default Methods in Java with an example.,Understand
Runnable Interface,Name the types of Runnable Interface available in Java.,Remember
JDK and JRE,Inspect a Java program using JDK and JRE and identify the logical flow.,Analyze
Association,Recall the default value associated with Association in Java.,Remember
JDK and JRE,Design a Java program that integrates JDK and JRE to solve a real-world problem.,Create
Serialization,What are the components of Serialization in Java?,Remember
Switch Statement,Build a Java solution that uses Switch Statement and explain your design choices.,Create
Recursion,Compare Recursion with a related concept in Java and analyze the differences.,Analyze
Functional Interfaces,Evaluate the correctness and quality of a Java solution that uses Functional Interfaces.,Evaluate
Data Types,Explain how Data Types differs from its alternatives in Java.,Understand
Aggregation,Examine the relationship between Aggregation and memory usage in Java.,Analyze
Exception Handling,Investigate the common errors that occur while using Exception Handling in Java.,Analyze
Inner Classes,Implement Inner Classes in Java with a working code example.,Apply
Thread Synchronization,Analyze the time complexity of operations involving Thread Synchronization in Java.,Analyze
Immutable Class,Investigate the common errors that occur while using Immutable Class in Java.,Analyze
Variables,Give reasons why Variables is important in Java.,Understand
Inner Classes,Build a Java solution that uses Inner Classes and explain your design choices.,Create
Scanner Class,Implement Scanner Class in Java with a working code example.,Apply
Type Casting,Analyze the time complexity of operations involving Type Casting in Java.,Analyze
Nested Classes,Formulate a Java mini-project that showcases Nested Classes.,Create
Regular Expressions,Develop a Java program that uses Regular Expressions to handle a given scenario.,Apply
Regular Expressions,Devise a Java program that uses Regular Expressions to implement a custom feature.,Create
Bitwise Operators,Evaluate the trade-offs involved in using Bitwise Operators in Java.,Evaluate
Enhanced For Loop,Write a Java program to demonstrate Enhanced For Loop.,Apply
Date and Time API,Apply Date and Time API to write a Java program that takes user input and produces output.,Apply
Bytecode,Investigate the common errors that occur while using Bytecode in Java.,Analyze
Constructors,Apply the concept of Constructors to complete a partially written Java program.,Apply
Generics,Write the general form of Generics in Java.,Remember
Vector,Judge the suitability of Vector for a large-scale Java project.,Evaluate
Classes and Objects,Differentiate between Classes and Objects and a related concept in Java.,Understand
Comparable and Comparator,Develop a complete Java application that uses Comparable and Comparator along with other concepts.,Create
Constructor Overloading,Name the types of Constructor Overloading available in Java.,Remember
Scanner Class,Discuss the significance of Scanner Class in Java.,Understand
Stack,Explain how Stack differs from its alternatives in Java.,Understand
Loops,Judge the suitability of Loops for a large-scale Java project.,Evaluate
Vector,Differentiate between Vector and a related concept in Java.,Understand
Arrays,Inspect a Java program using Arrays and identify the logical flow.,Analyze
Static Binding,Write the general form of Static Binding in Java.,Remember
Control Statements,Analyze why a Java program using Control Statements may produce unexpected results.,Analyze
TreeMap,Propose and implement an original Java solution using TreeMap.,Create
Polymorphism,Examine how Polymorphism affects the performance of a Java program.,Analyze
equals and hashCode,Explain the working of equals and hashCode in Java in your own words.,Understand
Methods,Critically assess the advantages and limitations of Methods in Java.,Evaluate
Singleton Class,Apply the concept of Singleton Class to complete a partially written Java program.,Apply
Default Methods,Why is Default Methods used in Java? Explain.,Understand
Composition,Apply the concept of Composition to complete a partially written Java program.,Apply
Association,Apply Association to write a Java program that takes user input and produces output.,Apply
Packages,What are the components of Packages in Java?,Remember
Methods,Recall the default value associated with Methods in Java.,Remember
Command Line Arguments,Construct a Java program that applies Command Line Arguments to process data.,Apply
String Buffer and Builder,Differentiate between String Buffer and Builder and a related concept in Java.,Understand
Wrapper Classes,Write a Java code snippet that makes use of Wrapper Classes.,Apply
Anonymous Classes,Use Anonymous Classes to implement a small Java application.,Apply
Scanner Class,Design a Java program that integrates Scanner Class to solve a real-world problem.,Create
Custom Exceptions,Demonstrate the use of Custom Exceptions through a Java program.,Apply
Queue,Why is Queue used in Java? Explain.,Understand
super Keyword,Interpret the behaviour of super Keyword in Java with a suitable example.,Understand
Wrapper Classes,Develop a complete Java application that uses Wrapper Classes along with other concepts.,Create
JDK and JRE,Recall the default value associated with JDK and JRE in Java.,Remember
Character Streams,Investigate the common errors that occur while using Character Streams in Java.,Analyze
Variable Scope,Inspect a Java program using Variable Scope and identify the logical flow.,Analyze
Autoboxing,Discuss the significance of Autoboxing in Java.,Understand
Access Modifiers,Critically assess the advantages and limitations of Access Modifiers in Java.,Evaluate
Try-Catch-Finally,Compare Try-Catch-Finally with a related concept in Java and analyze the differences.,Analyze
StringTokenizer,List the rules for using StringTokenizer in Java.,Remember
Java Memory Model,Argue for or against the use of Java Memory Model in a given Java scenario.,Evaluate
equals and hashCode,Classify the different forms of equals and hashCode in Java and explain each.,Understand
HashMap,Assess the impact of HashMap on the maintainability of Java code.,Evaluate
Jagged Arrays,Examine the relationship between Jagged Arrays and memory usage in Java.,Analyze
Thread Lifecycle,Compare Thread Lifecycle with a related concept in Java and analyze the differences.,Analyze
Bytecode,List the key features of Bytecode in Java.,Remember
Association,Analyze why a Java program using Association may produce unexpected results.,Analyze
Packages,Investigate the common errors that occur while using Packages in Java.,Analyze
Annotations,Write the general form of Annotations in Java.,Remember
Abstract Classes,Describe how Abstract Classes works in Java.,Understand
StringTokenizer,Examine the relationship between StringTokenizer and memory usage in Java.,Analyze
Access Modifiers,State two characteristics of Access Modifiers in Java.,Remember
Method Overloading,Design a Java program using Method Overloading to model a real-life entity.,Create
super Keyword,Evaluate two different approaches to implementing super Keyword in Java and recommend one.,Evaluate
Date and Time API,Give reasons why Date and Time API is important in Java.,Understand
Aggregation,Argue for or against the use of Aggregation in a given Java scenario.,Evaluate
JVM Architecture,Analyze why a Java program using JVM Architecture may produce unexpected results.,Analyze
Wrapper Classes,Classify the different forms of Wrapper Classes in Java and explain each.,Understand
Composition,Distinguish between correct and incorrect uses of Composition in Java with analysis.,Analyze
Immutable Class,Evaluate two different approaches to implementing Immutable Class in Java and recommend one.,Evaluate
Static Binding,Create a new Java class hierarchy that demonstrates Static Binding.,Create
JVM Architecture,Construct a Java program that combines JVM Architecture with exception handling to build a robust solution.,Create
Autoboxing,Judge the suitability of Autoboxing for a large-scale Java project.,Evaluate
Variable Scope,Evaluate the effectiveness of using Variable Scope in a Java application.,Evaluate
Aggregation,Critically assess the advantages and limitations of Aggregation in Java.,Evaluate
Polymorphism,Explain the advantages of using Polymorphism in Java.,Understand
Math Class,Design and build a Java module that applies Math Class effectively.,Create
Iterator,Investigate the common errors that occur while using Iterator in Java.,Analyze
this Keyword,Explain how this Keyword differs from its alternatives in Java.,Understand
String Buffer and Builder,"Using String Buffer and Builder, write a program to solve a simple problem in Java.",Apply
Abstraction,Distinguish between correct and incorrect uses of Abstraction in Java with analysis.,Analyze
Labeled Loops,Explain the working of Labeled Loops in Java in your own words.,Understand
HashSet,Demonstrate the use of HashSet through a Java program.,Apply
Operators,Write a Java program to demonstrate Operators.,Apply
Switch Statement,Identify the keyword used for Switch Statement in Java.,Remember
LinkedList,Develop an innovative Java program that extends the usual use of LinkedList.,Create
Constructor Overloading,Explain the concept of Constructor Overloading in Java with an example.,Understand
Thread Lifecycle,Explain the working of Thread Lifecycle in Java in your own words.,Understand
Method Overloading,Mention the purpose of Method Overloading in Java.,Remember
Runnable Interface,Formulate a Java mini-project that showcases Runnable Interface.,Create
super Keyword,Name the types of super Keyword available in Java.,Remember
Dynamic Binding,Explain how Dynamic Binding differs from its alternatives in Java.,Understand
Polymorphism,Design a Java program using Polymorphism to model a real-life entity.,Create
Ternary Operator,Design a Java program that integrates Ternary Operator to solve a real-world problem.,Create
Ternary Operator,Apply Ternary Operator to write a Java program that takes user input and produces output.,Apply
Marker Interface,Analyze the time complexity of operations involving Marker Interface in Java.,Analyze
Arrays,Critically assess the advantages and limitations of Arrays in Java.,Evaluate
Interfaces,Write a Java code snippet that makes use of Interfaces.,Apply
Packages,Develop a complete Java application that uses Packages along with other concepts.,Create
Character Streams,Discuss the significance of Character Streams in Java.,Understand
StringTokenizer,What are the components of StringTokenizer in Java?,Remember
Type Casting,Design a Java program that integrates Type Casting to solve a real-world problem.,Create
Jagged Arrays,Evaluate the correctness and quality of a Java solution that uses Jagged Arrays.,Evaluate
Control Statements,Apply Control Statements to write a Java program that takes user input and produces output.,Apply
HashMap,Demonstrate the use of HashMap through a Java program.,Apply
Abstract Classes,Analyze the time complexity of operations involving Abstract Classes in Java.,Analyze
Serialization,Classify the different forms of Serialization in Java and explain each.,Understand
Constructor Overloading,Explain the working of Constructor Overloading in Java in your own words.,Understand
Date and Time API,Create a Java application that uses Date and Time API to manage data for a small system.,Create
Variables,Use Variables to implement a small Java application.,Apply
Multithreading,Classify the different forms of Multithreading in Java and explain each.,Understand
Labeled Loops,Build a Java solution that uses Labeled Loops and explain your design choices.,Create
toString Method,Write a Java code snippet that makes use of toString Method.,Apply
Variable Scope,What is Variable Scope in Java?,Remember
Java I/O,Explain the working of Java I/O in Java in your own words.,Understand
Constructor Overloading,Use Constructor Overloading to implement a small Java application.,Apply
String Pool,Formulate a Java mini-project that showcases String Pool.,Create
Custom Exceptions,Formulate a Java mini-project that showcases Custom Exceptions.,Create
Date and Time API,State the syntax of Date and Time API in Java.,Remember
Thread Synchronization,Explain the concept of Thread Synchronization in Java with an example.,Understand
Stack,Construct a Java program that combines Stack with exception handling to build a robust solution.,Create
Jagged Arrays,Develop an innovative Java program that extends the usual use of Jagged Arrays.,Create
StringTokenizer,Analyze why a Java program using StringTokenizer may produce unexpected results.,Analyze
Aggregation,Define Aggregation in Java.,Remember
Enhanced For Loop,Analyze a given Java code segment using Enhanced For Loop and explain its behaviour.,Analyze
Dynamic Binding,Justify whether Dynamic Binding is the best choice for a given Java programming problem.,Evaluate
LinkedList,Assess the impact of LinkedList on the maintainability of Java code.,Evaluate
Inheritance,Evaluate the trade-offs involved in using Inheritance in Java.,Evaluate
Dynamic Binding,Inspect a Java program using Dynamic Binding and identify the logical flow.,Analyze
Byte Streams,Differentiate between Byte Streams and a related concept in Java.,Understand
Byte Streams,List the key features of Byte Streams in Java.,Remember
Bytecode,Explain how Bytecode differs from its alternatives in Java.,Understand
Recursion,List the rules for using Recursion in Java.,Remember
Jagged Arrays,Justify whether Jagged Arrays is the best choice for a given Java programming problem.,Evaluate
Default Methods,Design a Java program using Default Methods to model a real-life entity.,Create
Anonymous Classes,Design a Java program using Anonymous Classes to model a real-life entity.,Create
Character Streams,Identify the keyword used for Character Streams in Java.,Remember
Data Types,Develop an innovative Java program that extends the usual use of Data Types.,Create
Has-A Relationship,Explain the working of Has-A Relationship in Java in your own words.,Understand
Operators,Write the general form of Operators in Java.,Remember
Try-Catch-Finally,Construct a Java program that applies Try-Catch-Finally to process data.,Apply
Has-A Relationship,Differentiate between Has-A Relationship and a related concept in Java.,Understand
Default Methods,Apply the concept of Default Methods to complete a partially written Java program.,Apply
Arrays,Devise a Java program that uses Arrays to implement a custom feature.,Create
Var-args,Propose and implement an original Java solution using Var-args.,Create
Multidimensional Arrays,Inspect a Java program using Multidimensional Arrays and identify the logical flow.,Analyze
Java Memory Model,Analyze a given Java code segment using Java Memory Model and explain its behaviour.,Analyze
Annotations,Propose and implement an original Java solution using Annotations.,Create
Lambda Expressions,"Using Lambda Expressions, write a program to solve a simple problem in Java.",Apply
Iterator,Argue for or against the use of Iterator in a given Java scenario.,Evaluate
Inheritance,"Using Inheritance, write a program to solve a simple problem in Java.",Apply
Byte Streams,Write the general form of Byte Streams in Java.,Remember
Date and Time API,Why is Date and Time API used in Java? Explain.,Understand
Strings,"Determine whether Strings improves or harms the efficiency of a Java program, and justify.",Evaluate
Character Streams,Develop a complete Java application that uses Character Streams along with other concepts.,Create
Iterator,Evaluate the trade-offs involved in using Iterator in Java.,Evaluate
StringTokenizer,Give reasons why StringTokenizer is important in Java.,Understand
Java Memory Model,Develop a complete Java application that uses Java Memory Model along with other concepts.,Create
equals and hashCode,Explain how equals and hashCode differs from its alternatives in Java.,Understand
Collections Framework,Critically assess the advantages and limitations of Collections Framework in Java.,Evaluate
Comparable and Comparator,Name the types of Comparable and Comparator available in Java.,Remember
Runnable Interface,Demonstrate the use of Runnable Interface through a Java program.,Apply
Enhanced For Loop,Judge the suitability of Enhanced For Loop for a large-scale Java project.,Evaluate
Recursion,Develop an innovative Java program that extends the usual use of Recursion.,Create
Java Memory Model,Formulate a Java mini-project that showcases Java Memory Model.,Create
Custom Exceptions,Evaluate the trade-offs involved in using Custom Exceptions in Java.,Evaluate
Operators,Give reasons why Operators is important in Java.,Understand
Autoboxing,Why is Autoboxing used in Java? Explain.,Understand
Operators,Design a Java program using Operators to model a real-life entity.,Create
Wrapper Classes,Build a Java solution that uses Wrapper Classes and explain your design choices.,Create
Constructor Overloading,Mention the purpose of Constructor Overloading in Java.,Remember
Garbage Collection,Distinguish between correct and incorrect uses of Garbage Collection in Java with analysis.,Analyze
Try-Catch-Finally,Show how Try-Catch-Finally can be used in a Java program to perform a task.,Apply
Exception Handling,State two characteristics of Exception Handling in Java.,Remember
Deque,Explain the concept of Deque in Java with an example.,Understand
Composition,Devise a Java program that uses Composition to implement a custom feature.,Create
Nested Classes,State two characteristics of Nested Classes in Java.,Remember
BufferedReader,"Using BufferedReader, write a program to solve a simple problem in Java.",Apply
Static Keyword,Mention the purpose of Static Keyword in Java.,Remember
Association,"Using Association, write a program to solve a simple problem in Java.",Apply
BufferedReader,Develop a complete Java application that uses BufferedReader along with other concepts.,Create
Singleton Class,Build a Java solution that uses Singleton Class and explain your design choices.,Create
Functional Interfaces,Evaluate two different approaches to implementing Functional Interfaces in Java and recommend one.,Evaluate
Constructor Overloading,Evaluate the correctness and quality of a Java solution that uses Constructor Overloading.,Evaluate
Packages,Analyze how Packages interacts with other features of Java.,Analyze
Thread Synchronization,Apply Thread Synchronization to write a Java program that takes user input and produces output.,Apply
Byte Streams,List the rules for using Byte Streams in Java.,Remember
super Keyword,Create a Java application that uses super Keyword to manage data for a small system.,Create
Static Keyword,Assess the impact of Static Keyword on the maintainability of Java code.,Evaluate
Comparable and Comparator,Summarize the role of Comparable and Comparator in Java programming.,Understand
Encapsulation,Build a Java solution that uses Encapsulation and explain your design choices.,Create
Date and Time API,Develop a complete Java application that uses Date and Time API along with other concepts.,Create
Labeled Loops,Develop a Java program that uses Labeled Loops to handle a given scenario.,Apply
Default Methods,Devise a Java program that uses Default Methods to implement a custom feature.,Create
Abstract Classes,Explain how Abstract Classes differs from its alternatives in Java.,Understand
Java Memory Model,Evaluate the correctness and quality of a Java solution that uses Java Memory Model.,Evaluate
toString Method,Use toString Method to implement a small Java application.,Apply
HashSet,Apply HashSet to write a Java program that takes user input and produces output.,Apply
BufferedReader,Construct a Java program that applies BufferedReader to process data.,Apply
Vector,Define Vector in Java.,Remember
Bytecode,Analyze why a Java program using Bytecode may produce unexpected results.,Analyze
Composition,Create a new Java class hierarchy that demonstrates Composition.,Create
Scanner Class,Design a Java program using Scanner Class to model a real-life entity.,Create
Is-A Relationship,Write the general form of Is-A Relationship in Java.,Remember
Scanner Class,Demonstrate the use of Scanner Class through a Java program.,Apply
Object Class,Inspect a Java program using Object Class and identify the logical flow.,Analyze
Regular Expressions,Analyze why a Java program using Regular Expressions may produce unexpected results.,Analyze
Custom Exceptions,Design a Java program using Custom Exceptions to model a real-life entity.,Create
Queue,"Recommend, with justification, when Queue should be used in Java.",Evaluate
Vector,Explain the concept of Vector in Java with an example.,Understand
ArrayList,Write the general form of ArrayList in Java.,Remember
Ternary Operator,Judge the suitability of Ternary Operator for a large-scale Java project.,Evaluate
Dynamic Binding,Recall the default value associated with Dynamic Binding in Java.,Remember
Stack,Build a Java solution that uses Stack and explain your design choices.,Create
StringTokenizer,Judge the suitability of StringTokenizer for a large-scale Java project.,Evaluate
Immutable Class,Develop a Java program that uses Immutable Class to handle a given scenario.,Apply
Static Keyword,"Recommend, with justification, when Static Keyword should be used in Java.",Evaluate
Marker Interface,Apply the concept of Marker Interface to complete a partially written Java program.,Apply
Data Types,Demonstrate the use of Data Types through a Java program.,Apply
Inheritance,Design a Java program using Inheritance to model a real-life entity.,Create
Ternary Operator,Define Ternary Operator in Java.,Remember
HashMap,Inspect a Java program using HashMap and identify the logical flow.,Analyze
Arrays,Construct a Java program that applies Arrays to process data.,Apply
Scanner Class,Explain the working of Scanner Class in Java in your own words.,Understand
Is-A Relationship,Define Is-A Relationship in Java.,Remember
Arrays,Analyze why a Java program using Arrays may produce unexpected results.,Analyze
Method Overriding,Give reasons why Method Overriding is important in Java.,Understand
super Keyword,Devise a Java program that uses super Keyword to implement a custom feature.,Create
Final Keyword,Construct a Java program that applies Final Keyword to process data.,Apply
Comparable and Comparator,Judge the suitability of Comparable and Comparator for a large-scale Java project.,Evaluate
Scanner Class,Critique a design decision that relies on Scanner Class in Java.,Evaluate
Throw and Throws,Create a Java application that uses Throw and Throws to manage data for a small system.,Create
BufferedReader,Analyze how BufferedReader interacts with other features of Java.,Analyze
Autoboxing,Analyze the time complexity of operations involving Autoboxing in Java.,Analyze
Abstraction,Write and execute a Java program illustrating Abstraction.,Apply
Association,Design and build a Java module that applies Association effectively.,Create
Constructors,Design a Java program using Constructors to model a real-life entity.,Create
Operators,Mention the purpose of Operators in Java.,Remember
Strings,List the rules for using Strings in Java.,Remember
Interfaces,Analyze the time complexity of operations involving Interfaces in Java.,Analyze
Nested Classes,Construct a Java program that applies Nested Classes to process data.,Apply
Thread Lifecycle,Show how Thread Lifecycle can be used in a Java program to perform a task.,Apply
Java Memory Model,Examine how Java Memory Model affects the performance of a Java program.,Analyze
ArrayList,Interpret the behaviour of ArrayList in Java with a suitable example.,Understand
Inner Classes,Evaluate the effectiveness of using Inner Classes in a Java application.,Evaluate
Bitwise Operators,List the rules for using Bitwise Operators in Java.,Remember
Control Statements,What are the components of Control Statements in Java?,Remember
Java Memory Model,Inspect a Java program using Java Memory Model and identify the logical flow.,Analyze
equals and hashCode,Assess the impact of equals and hashCode on the maintainability of Java code.,Evaluate
